Participant	Task	Stimulus_Side	Response	RT	ITI	Previous_Response	Previous_RT	Trial_Onset	Trial_End	Trial_Order	Duration	Conflict	Cue_Response	Cue_Response_RT	Stop_Signal	Stop_Signal_RT
S200302	Conflict_Resolution	RIGHT	RIGHT	612.20719999983	1233.3333358	n/a	n/a	2020-03-02 13:14:23.866230	2020-03-02 13:14:24.686165	75	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	443.061799999896	816.6666683	n/a	n/a	2020-03-02 13:14:25.522596	2020-03-02 13:14:26.174892	76	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	574.875799999973	1350.0000027	n/a	n/a	2020-03-02 13:14:27.543991	2020-03-02 13:14:28.326943	77	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	498.612200000025	1250.0000025	n/a	n/a	2020-03-02 13:14:29.596029	2020-03-02 13:14:30.302054	78	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	538.72309999997	683.3333347	n/a	n/a	2020-03-02 13:14:31.003393	2020-03-02 13:14:31.751278	79	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	444.176399999833	616.6666679	n/a	n/a	2020-03-02 13:14:32.385563	2020-03-02 13:14:33.039187	80	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	636.178700000073	1200.0000024	n/a	n/a	2020-03-02 13:14:34.258276	2020-03-02 13:14:35.102656	81	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	377.714799999922	1466.6666696	n/a	n/a	2020-03-02 13:14:36.588421	2020-03-02 13:14:37.173748	82	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	435.683200000085	1000.000002	n/a	n/a	2020-03-02 13:14:38.194068	2020-03-02 13:14:38.838901	83	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	468.169900000021	783.3333349	n/a	n/a	2020-03-02 13:14:39.641768	2020-03-02 13:14:40.317747	84	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	442.714199999955	1450.0000029	n/a	n/a	2020-03-02 13:14:41.787331	2020-03-02 13:14:42.439231	85	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	438.205799999878	766.6666682	n/a	n/a	2020-03-02 13:14:43.224112	2020-03-02 13:14:43.869837	86	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	482.526499999949	883.3333351	n/a	n/a	2020-03-02 13:14:44.771323	2020-03-02 13:14:45.462525	87	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	600.876499999913	1500.000003	n/a	n/a	2020-03-02 13:14:46.981480	2020-03-02 13:14:47.789600	88	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	527.624900000092	933.3333352	n/a	n/a	2020-03-02 13:14:48.743087	2020-03-02 13:14:49.478570	89	6.64973325	False	n/a	n/a	n/a	n/a
